Geography,Canada,,,,,,,,,,,,
Products,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23
,Dollars,,,,,,,,,,,,
"Beef stewing cuts, per kilogram 4",19.02,17.52,17.05,17.08,18.17,19.02,19.63,19.48,16.23,18.5,17.66,20.48,19.7
"Beef striploin cuts, per kilogram 4",19.53,27.98,23.32,27.7,27.08,26.87,26.04,32.11,26.22,27.67,25.47,23.95,20.67
"Beef top sirloin cuts, per kilogram 4",15.82,18.44,18.76,21.5,19.25,20.37,21.43,21.71,26.76,26.14,20.04,21.18,23.21
"Beef rib cuts, per kilogram 4",21.18,28.18,30.71,28.92,23.72,28.59,27.95,26.96,32.02,27.01,23.17,31.43,26.23
"Ground beef, per kilogram 4",10.92,10.64,9.92,10.31,11.12,11.23,11.5,11.19,11.45,11.69,11.82,11.72,12.71
"Pork loin cuts, per kilogram 4",9.28,9.65,7.9,7.92,9.57,8.88,8.72,8.93,9.13,9.29,8.99,8.78,9.19
"Pork rib cuts, per kilogram 4",10.05,8.67,9.01,8.97,8.64,8.7,8.16,8.86,9.4,8.89,8.72,9.21,9.71
"Pork shoulder cuts, per kilogram 4",6.16,4.48,6.18,5.79,7.41,8.58,8.8,7.35,8.35,6.53,6.74,7.43,7.23
"Whole chicken, per kilogram 4",6.58,5.86,6.39,6.21,5.96,5.98,6.14,6.99,6.98,6.16,6.74,5.9,6.47
"Chicken breasts, per kilogram 4",13.89,13.99,14.04,14.72,14.68,13.82,14.36,14.61,14.75,15.48,14.06,14.1,12.71
"Chicken thigh, per kilogram 4",11.96,12.1,11.48,11.96,12.26,12.16,12.78,12.47,12.64,12.49,12.41,11.82,13.06
"Chicken drumsticks, per kilogram 4",6.48,6.76,6.48,5.84,5.93,6.32,6.31,6.65,6.58,5.83,7.25,6.07,8.26
"Bacon, 500 grams 5",7.5,7.04,6.75,6.79,6.59,6.33,6.46,6.62,6.67,7.33,6.9,6.67,7
"Wieners, 400 grams 5",4.14,3.79,4.08,4.01,3.95,3.94,3.95,4.04,3.94,3.89,3.89,3.95,4.15
"Salmon, per kilogram 4",25.12,28.93,28.32,29.1,28.21,29.09,27.38,26.07,23.9,26.14,26.11,24.21,24.45
